"C.dat.median[, 1]","X10_100","X10_1000","X10_10000","X100_1000","X100_10000","X50_100","X50_1000","X50_10000"
"gr48.ts10r10f",7.534,7577.742,36532.938,270.793,11704.783,11.692,910.501,199594.748
"hk48.ts10r10f",43.167,5323.28,24078.277,680.769,21022.669,16.274,1451.17,36089.779
"eil51.ts10r10f",2.412,6670.853,6875.162,153.563,9671.294,19.339,689.451,198720.207
"berlin52.ts10r10f",26.543,4028.064,4173.63,64.269,2254.017,13.921,547.657,1061.752
"brazil58.ts10r10f",8.98,25305.319,33062.561,961.21,3268.551,14.359,3723.111,10033.248
"st70.ts10r10f",11.422,14766.598,63080.773,380.42,27298.326,14.366,1512.485,23079.415
"eil76.ts10r10f",15.903,7367.014,5618.737,426.25,12954.081,11.44,1693.877,2371.643
"pr76.ts10r10f",14.658,7553.186,7773.007,242.901,331.701,8.317,1489.059,1748.949
"gr96.ts10r10f",16.801,12238.042,11526.93,1012.711,1164.402,5.565,1786.311,1979.714
"burma14.ts1e7r0f",5.721,477.993,448.212,1.027,1.027,1.027,1.027,1.027
"ulysses16.ts1e7r0f",4.745,2426.005,2641.86,1.346,1.346,5.591,10.603,10.603
"gr17.ts1e7r0f",10.059,2419.606,2009.877,288.747,288.747,1.204,853.212,853.212
"gr21.ts1e7r0f",15.657,1311.534,1284.866,1.024,1.024,1.004,1.004,1.004
"ulysses22.ts1e7r0f",7.911,3695.594,3883.316,1.429,1.429,4.378,4.07,4.07
"gr24.ts1e7r0f",8.334,1881.943,2752.578,1.304,28.407,16.29,37.287,539.646
"fri26.ts1e7r0f",11.255,1839.429,2682.474,1.159,13.106,23.034,33.022,805.494
"bayg29.ts1e7r0f",64.812,8336.426,7437.106,1.331,24.723,66.811,219.591,541.407
"bays29.ts1e7r0f",9.659,3006.106,3539.914,2.562,405.211,45.878,98.836,3403.967
"dantzig42.ts1e7r0f",5.31,4400.938,3536.656,24.087,133.363,16.174,336.933,1990.127
"swiss42.ts1e7r0f",4.296,3699.489,2365.466,16.303,281.379,18.304,503.267,506.419
"att48.ts1e7r0f",7.854,4579.048,48063.983,137.469,9262.26,8.818,756.256,3249.453
"gr48.ts1e7r0f",10.017,8748.078,8169.293,77.538,3688.174,13.048,535.48,85874.681
"hk48.ts1e7r0f",15.101,29569.912,28157.951,584.83,1365.475,19.15,2980.534,18651.499
"eil51.ts1e7r0f",6.767,8028.548,4273.084,73.557,23167.288,26.478,1148.058,3222.996
"berlin52.ts1e7r0f",5.387,4518.988,4024.715,115.928,685.183,14.835,1469.252,3634.46
"brazil58.ts1e7r0f",12.267,56451.611,17165.123,305.516,3415.779,6.964,2650.604,20688.11
"st70.ts1e7r0f",14.975,10815.097,8171.411,385.128,7993.906,6.539,1800.062,2075.492
"eil76.ts1e7r0f",15.72,18436.252,5474.185,281.282,4262.206,10.022,2312.326,15913.235
"pr76.ts1e7r0f",6.273,6384.288,28853.361,667.079,1884.198,6.714,1627.385,12336.152
"gr96.ts1e7r0f",27.206,16132.33,17417.97,1113.438,1198.784,15.508,4741.422,5789.262
