"","instance_file","model","a","b","c","d","residuals"
"182","holtschulte2013/ga100/f15/DIM2","DCMN",0,0,0,0,1e+06
"183","holtschulte2013/ga100/f15/DIM20","DCMN",3.24220253585026,-3.96777010271222,-4.58234886531059,-0.149592192084044,0.00712086195566689
"184","holtschulte2013/ga100/f15/DIM3","DCMN",0,0,0,0,1e+06
"185","holtschulte2013/ga100/f15/DIM40","DCMN",3.56917404247569,-3.85649316712147,-5.17215024557037,-0.148861954918785,0.00328860370599659
"186","holtschulte2013/ga100/f15/DIM5","DCMN",0,0,0,0,1e+06
"187","holtschulte2013/ga100/f16/DIM10","DCMN",0,0,0,0,1e+06
"188","holtschulte2013/ga100/f16/DIM2","DCMN",0,0,0,0,1e+06
"189","holtschulte2013/ga100/f16/DIM20","DCMN",1.86468965176567,-2.55152702851041,-4.89897847100839,-0.166263557292479,0.0207622979201276
"190","holtschulte2013/ga100/f16/DIM3","DCMN",0,0,0,0,1e+06
"191","holtschulte2013/ga100/f16/DIM40","DCMN",1.78887651135346,-1.05745717213077,-38.7269686209653,-0.447557499771396,0.00957367566732074
"192","holtschulte2013/ga100/f16/DIM5","DCMN",0,0,0,0,1e+06
"193","holtschulte2013/ga100/f17/DIM10","DCMN",0,0,0,0,1e+06
"194","holtschulte2013/ga100/f17/DIM2","DCMN",0,0,0,0,1e+06
"195","holtschulte2013/ga100/f17/DIM20","DCMN",0,0,0,0,1e+06
"196","holtschulte2013/ga100/f17/DIM3","DCMN",0,0,0,0,1e+06
"197","holtschulte2013/ga100/f17/DIM40","DCMN",0,0,0,0,1e+06
"198","holtschulte2013/ga100/f17/DIM5","DCMN",0,0,0,0,1e+06
"199","holtschulte2013/ga100/f18/DIM10","DCMN",0,0,0,0,1e+06
"200","holtschulte2013/ga100/f18/DIM2","DCMN",0,0,0,0,1e+06
"201","holtschulte2013/ga100/f18/DIM20","DCMN",1.96944841063417,-1.75846030868426,-75.0586948877546,-0.607830464114104,0.0276780111550591
"202","holtschulte2013/ga100/f18/DIM3","DCMN",0,0,0,0,1e+06
"203","holtschulte2013/ga100/f18/DIM40","DCMN",2.40820201174384,-59.0288494718472,-5.97921303080211,-0.0502818574883135,0.0145176192872795
"204","holtschulte2013/ga100/f18/DIM5","DCMN",0,0,0,0,1e+06
"205","holtschulte2013/ga100/f19/DIM10","DCMN",0,0,0,0,1e+06
"206","holtschulte2013/ga100/f19/DIM2","DCMN",0,0,0,0,1e+06
"207","holtschulte2013/ga100/f19/DIM20","DCMN",2.92010344541078,-3.90673359899757,-1.22900414457816,-0.0864763901006603,0.0138407261205268
"208","holtschulte2013/ga100/f19/DIM3","DCMN",0,0,0,0,1e+06
"209","holtschulte2013/ga100/f19/DIM40","DCMN",1.82735837593457,-2.19869196741334,-3.13001154622936,-0.141133070168164,0.00859852674658501
"210","holtschulte2013/ga100/f19/DIM5","DCMN",0,0,0,0,1e+06
"211","holtschulte2013/ga100/f2/DIM10","DCMN",0,0,0,0,1e+06
"212","holtschulte2013/ga100/f2/DIM2","DCMN",0,0,0,0,1e+06
